1.420,8.809
1.411,8.809
1.401,8.809
1.391,8.809
1.380,8.809
1.368,8.809
1.356,8.809
1.344,8.809
1.330,8.809
1.316,8.809
1.302,8.809
1.287,8.809
1.272,8.809
1.255,8.809
1.239,8.809
1.222,8.809
1.204,8.765
1.185,8.715
1.167,8.663
1.147,8.610
1.127,8.556
1.107,8.500
1.086,8.443
1.065,8.385
1.043,8.325
1.021,8.264
0.998,8.171
0.975,8.076
0.951,7.979
0.927,7.880
0.903,7.779
0.878,7.677
0.852,7.573
0.827,7.467
0.801,7.342
0.774,7.210
0.747,7.075
0.720,6.939
0.693,6.801
0.665,6.662
0.637,6.521
0.609,6.371
0.580,6.208
0.551,6.043
0.522,5.877
0.493,5.710
0.463,5.541
0.433,5.372
0.403,5.192
0.373,5.003
0.343,4.814
0.313,4.624
0.282,4.433
0.251,4.241
0.221,4.049
0.190,3.843
0.159,3.636
0.128,3.428
0.097,3.220
0.066,3.012
0.035,2.804
0.004,2.590
-0.027,2.370
-0.058,2.151
-0.089,1.932
-0.119,1.713
-0.150,1.496
-0.181,1.278
-0.211,1.051
-0.241,0.826
-0.272,0.601
-0.302,0.378
-0.331,0.156
-0.361,-0.065
-0.391,-0.287
-0.420,-0.513
-0.449,-0.737
-0.477,-0.959
-0.506,-1.179
-0.534,-1.397
-0.562,-1.613
-0.589,-1.829
-0.616,-2.047
-0.643,-2.262
-0.670,-2.475
-0.696,-2.685
-0.722,-2.891
-0.747,-3.095
-0.772,-3.295
-0.797,-3.496
-0.821,-3.695
-0.844,-3.891
-0.868,-4.083
-0.890,-4.271
-0.913,-4.456
-0.935,-4.636
-0.956,-4.812
-0.977,-4.984
-0.997,-5.156
-1.017,-5.324
-1.036,-5.487
-1.055,-5.646
-1.073,-5.800
-1.090,-5.950
-1.107,-6.094
-1.124,-6.234
-1.140,-6.369
-1.155,-6.499
-1.170,-6.624
-1.184,-6.744
-1.197,-6.862
-1.210,-6.974
-1.222,-7.081
-1.234,-7.182
-1.245,-7.278
-1.255,-7.368
-1.265,-7.453
-1.274,-7.533
-1.283,-7.607
-1.291,-7.675
-1.298,-7.738
-1.304,-7.795
-1.310,-7.847
-1.316,-7.893
-1.320,-7.934
-1.324,-7.969
-1.328,-7.998
-1.330,-8.022
-1.333,-8.040
-1.334,-8.052
-1.335,-8.060
-1.335,-8.061
-1.335,-8.061
-1.333,-8.061
-1.332,-8.061
-1.329,-8.061
-1.327,-8.061
-1.323,-8.061
-1.319,-8.061
-1.314,-8.061
-1.309,-8.061
-1.303,-8.061
-1.296,-8.061
-1.289,-8.061
-1.282,-8.061
-1.274,-8.061
-1.265,-8.061
-1.256,-8.061
-1.246,-8.061
-1.236,-8.061
-1.225,-8.061
-1.213,-8.061
-1.202,-8.061
-1.189,-8.061
-1.177,-8.061
-1.163,-8.061
-1.150,-8.061
-1.136,-8.061
-1.121,-8.023
-1.106,-7.982
-1.091,-7.940
-1.075,-7.897
-1.059,-7.853
-1.043,-7.808
-1.026,-7.762
-1.009,-7.715
-0.991,-7.668
-0.973,-7.619
-0.955,-7.570
-0.937,-7.519
-0.919,-7.446
-0.900,-7.369
-0.881,-7.291
-0.861,-7.212
-0.842,-7.132
-0.822,-7.051
-0.803,-6.969
-0.783,-6.887
-0.762,-6.805
-0.742,-6.722
-0.722,-6.626
-0.701,-6.524
-0.681,-6.421
-0.660,-6.317
-0.640,-6.214
-0.619,-6.110
-0.598,-6.007
-0.578,-5.903
-0.557,-5.800
-0.537,-5.696
-0.516,-5.580
-0.496,-5.463
-0.475,-5.347
-0.455,-5.231
-0.435,-5.116
-0.415,-5.002
-0.395,-4.889
-0.375,-4.776
-0.356,-4.665
-0.336,-4.554
-0.317,-4.435
-0.298,-4.317
-0.280,-4.200
-0.261,-4.085
-0.243,-3.972
-0.225,-3.860
-0.208,-3.750
-0.190,-3.642
-0.173,-3.536
-0.157,-3.433
-0.140,-3.331
-0.125,-3.227
-0.109,-3.123
-0.094,-3.022
-0.079,-2.923
-0.065,-2.828
-0.051,-2.735
-0.038,-2.645
-0.025,-2.558
-0.012,-2.474
-0.000,-2.393
0.011,-2.316
0.022,-2.242
0.033,-2.171
0.043,-2.104
0.052,-2.040
0.061,-1.980
0.070,-1.922
0.078,-1.866
0.085,-1.814
0.092,-1.766
0.098,-1.722
0.103,-1.682
0.108,-1.647
0.113,-1.615
0.117,-1.588
0.120,-1.565
0.123,-1.546
0.125,-1.532
0.126,-1.522
0.127,-1.517
0.127,-1.515
0.126,-1.515
0.125,-1.515
0.124,-1.515
0.121,-1.515
0.118,-1.515
0.115,-1.515
0.110,-1.515
0.106,-1.515
0.100,-1.515
0.094,-1.515
0.087,-1.515
0.080,-1.515
0.072,-1.515
0.063,-1.515
0.054,-1.515
0.044,-1.515
0.033,-1.515
0.022,-1.515
0.010,-1.515
-0.002,-1.515
-0.015,-1.515
-0.029,-1.515
-0.043,-1.515
-0.057,-1.515
-0.073,-1.515
-0.088,-1.558
-0.105,-1.602
-0.122,-1.649
-0.139,-1.697
-0.157,-1.746
-0.176,-1.797
-0.195,-1.849
-0.214,-1.902
-0.234,-1.957
-0.255,-2.013
-0.276,-2.075
-0.297,-2.163
-0.319,-2.253
-0.342,-2.344
-0.364,-2.438
-0.387,-2.533
-0.411,-2.630
-0.435,-2.728
-0.459,-2.828
-0.484,-2.940
-0.509,-3.065
-0.534,-3.193
-0.560,-3.322
-0.586,-3.452
-0.612,-3.584
-0.639,-3.717
-0.666,-3.852
-0.693,-4.001
-0.720,-4.157
-0.748,-4.314
-0.775,-4.472
-0.803,-4.631
-0.831,-4.791
-0.859,-4.952
-0.888,-5.122
-0.916,-5.299
-0.945,-5.478
-0.973,-5.657
-1.002,-5.836
-1.031,-6.016
-1.060,-6.196
-1.088,-6.383
-1.117,-6.576
-1.146,-6.769
-1.175,-6.962
-1.203,-7.154
-1.232,-7.346
-1.261,-7.537
-1.289,-7.734
-1.317,-7.935
-1.345,-8.152
-1.373,-8.395
-1.401,-8.642
-1.429,-8.888
-1.456,-9.132
