0.714,11.995,13.520
0.675,11.995,13.520
0.613,11.995,13.520
0.534,11.995,13.509
0.444,11.772,13.274
0.348,11.509,12.839
0.253,11.150,12.210
0.164,10.787,11.357
0.089,10.444,10.467
0.032,10.159,9.751
-0.000,9.998,9.337
-0.003,9.981,9.293
0.019,9.981,9.293
0.060,9.981,9.293
0.115,9.981,9.293
0.179,9.981,9.313
0.246,10.116,9.445
0.310,10.291,9.559
0.365,10.443,9.681
0.407,10.571,9.791
0.429,10.662,9.878
0.428,10.662,9.878
0.407,10.662,9.878
0.371,10.662,9.878
0.325,10.662,9.878
0.276,10.662,9.878
0.227,10.655,9.831
0.184,10.538,9.761
0.152,10.451,9.708
0.137,10.409,9.681
0.143,10.409,9.681
0.174,10.409,9.681
0.226,10.409,9.681
0.294,10.409,9.681
0.371,10.503,9.784
0.452,10.756,9.971
0.531,11.081,10.299
0.602,11.379,10.631
0.661,11.671,10.918
0.700,11.867,11.123
0.714,11.939,11.200
0.700,11.939,11.200
0.659,11.939,11.200
0.599,11.939,11.200
0.522,11.939,11.171
0.434,11.720,11.038
0.340,11.463,10.863
0.245,11.107,10.542
0.153,10.731,10.151
0.070,10.349,9.722
0.000,9.998,9.314
-0.053,9.733,8.628
-0.088,9.547,8.138
-0.107,9.438,7.869
-0.111,9.418,7.819
-0.100,9.418,7.819
-0.075,9.418,7.819
-0.037,9.418,7.819
0.012,9.418,7.819
0.072,9.418,7.847
0.143,9.565,8.023
0.222,9.782,8.188
0.307,10.037,8.431
0.393,10.390,8.794
0.476,10.734,9.181
0.554,11.112,9.576
0.621,11.450,9.942
0.675,11.719,10.234
0.711,11.914,10.427
0.725,11.995,10.504
0.714,11.995,10.504
0.675,11.995,10.504
0.613,11.995,10.504
0.534,11.995,10.476
0.443,11.771,10.340
0.347,11.509,10.158
0.252,11.149,9.833
0.164,10.786,9.458
0.089,10.443,9.072
0.032,10.158,8.755
0.000,9.998,8.558
-0.003,9.982,8.539
0.019,9.982,8.539
0.061,9.982,8.539
0.116,9.982,8.539
